#SuperEvent_ID	eventID	Group	Pipeline	Search	 Instruments	t_start			t_0			t_end			area50	area90	dist_Mpc  err_dist_Mpc	method		FAR_Hz		log10_FAR_Hz	BNS	NSBH	BBH	MassGap	Terrestrial
S190408an   	G329243 CBC	gstlal	 	AllSky	 H1,L1,V1  	1238782699.268296	1238782700.287958	1238782701.359863	82      387    	1473	  358	     	LAL		2.811e-18	-17.5511      	0.0	0.0	1.0	0.0	0.0
S190412m	G329483 CBC	gstlal		AllSky	 H1,L1,V1     	1239082261.146717	1239082262.222168	1239082263.229492	37    	156	812	  194	     	LAL		1.683e-27	-26.7739	0.0	0.0	1.0	0.0	0.0
S190421ar	G330308 CBC	pycbc		AllSky	 H1,L1       	1239917953.250977	1239917954.409180	1239917955.409180	399    	1444	1628	  535	     	bayestar	1.489e-08 	 -7.8271	0.0	0.0	0.9674  0.0	0.0326
S190425z	G330561 CBC	gstlal		AllSky	 L1,V1     	1240215502.011549	1240215503.011549	1240215504.018242	1378   	7461	156	  41	     	LAL		4.538e-13	-12.3431	0.9994	0.0	0.0	0.0	0.0006
S190426c	G330687 CBC	gstlal		AllSky	 H1,L1,V1       1240327332.331668	1240327333.348145	1240327334.353516	214    	1131	377       100	     	LAL		1.947e-08	 -7.7106	0.2437  0.0639	0.0	0.1173	0.5750
S190503bf	G331315 CBC	gstlal		AllSky	 H1,L1,V1	1240944861.288574	1240944862.412598	1240944863.422852       104    	448	421	  105	     	LAL		1.636e-09	 -8.7862	0.0	0.0047	0.9628	0.0323	0.0001
S190510g	G331903 CBC	gstlal		AllSky	 H1,L1,V1	1241492396.291636	1241492397.291636	1241492398.293185       31    	1166	227	  92	     	LAL		8.834e-09	 -8.0538	0.9797	0.0	0.0	0.0	0.0203
S190512at	G332191 CBC	pycbc		AllSky	 H1,L1,V1 	1241719651.411441	1241719652.416286	1241719653.518066       44      252	1388	  322	     	bayestar	1.901e-09	 -8.7210	0.0	0.0	0.9899	0.0	0.0101
S190513bm	G332333 CBC	gstlal		AllSky	 H1,L1,V1	1241816085.736106	1241816086.869141	1241816087.869141	134     691	1987	  501	     	LAL	     	3.734e-13	-12.4278	0.0	0.0052	0.9427	0.0521	0.0
S190517h	G333132 CBC	gstlal		AllSky	 H1,L1,V1   	1242107478.819517	1242107479.994141	1242107480.994141	152     939	2950	  1038	     	LAL		2.373e-09	 -8.6247	0.0	0.0008	0.9826	0.0166	0.0
S190519bj	G333462 CBC	pycbc		AllSky	 H1,L1,V1    	1242315361.378873	1242315362.655762	1242315363.676270  	169     967	3154	  791	     	bayestar	5.702e-09	 -8.2439	0.0	0.0	0.9558	0.0	0.0442
S190521g	G333631 CBC	pycbc		AllSky	 H1,L1,V1  	1242442966.447266	1242442967.606934	1242442968.888184       144     765	3931	  953	    	LAL		3.801e-09	 -8.4201	0.0	0.0	0.9659	0.0	0.0341
S190521r	G333674 CBC	pycbc		AllSky	 H1,L1   	1242459856.453418	1242459857.460739	1242459858.642090	162     488	1136	  279	     	bayestar	3.168e-10	 -9.4992	0.0	0.0	0.9993	0.0	0.0007
S190602aq	G334993 CBC	pycbc		AllSky	 H1,L1,V1       1243533584.081266	1243533585.089355	1243533586.346191	286    	1172	797	  238	     	bayestar	1.901e-09	 -8.7210	0.0	0.0	0.9903	0.0	0.0097
S190630ag	G337426	CBC	gstlal		AllSky	 L1,V1     	1245955942.175325	1245955943.179550	1245955944.183184	1936	8493	1059	  307  		LAL 		1.435e-13	-12.8431	0.0	0.0052	0.9427	0.0521	0.0
S190701ah	G337515	CBC	pycbc		AllSky	 H1,L1,V1       1246048403.576563	1246048404.577637	1246048405.814941	14	49    	1849	  446		LAL		1.916e-08	 -7.7176	0.0	0.0	0.9344	0.0	0.0656
S190706ai	G337913	CBC	pycbc		AllSky	 H1,L1,V1	1246487218.321541	1246487219.344727	1246487220.585938	196	826	5263	  1402		LAL		1.901e-09	 -8.7210	0.0	0.0	0.9898	0.0	0.0102
S190707q	G338000	CBC	MBTAOnline	AllSky	 H1,L1       	1246527223.118398	1246527224.181226	1246527225.284180	310	921	781	  211		LAL		5.265e-12	-11.2786	0.0	0.0	1.0	0.0	0.0
S190718y	G344538	CBC	gstlal		AllSky	 H1,L1,V1	1247495729.067865	1247495730.067865	1247495731.067865       79	7246	227	  165		bayestar	3.648e-08	 -7.4379	0.0207	0.0	0.0	0.0	0.9793
S190720a	G344656	CBC	pycbc		AllSky	 H1,L1       	1247616533.703127	1247616534.704102	1247616535.860840	11	443     869	  283		LAL		3.801e-09	 -8.4201	0.0	0.0	0.9893	0.0	0.0107
S190727h	G345163 CBC	gstlal		AllSky	 H1,L1,V1	1248242630.976288	1248242631.985887	1248242633.180176	19	151	2839	  655		LAL		1.378e-10	 -9.8608	0.0	0.0019	0.9221	0.0282	0.0478
S190728q	G345315	CBC	gstlal		AllSky	 H1,L1,V1      	1248331527.497344	1248331528.546797	1248331529.706055	24 	104	874	  171		LAL		2.527e-23	-22.5974	0.0	0.1435	0.3400	0.5165	0.0
S190814bv	G347305	CBC	gstlal		AllSky	 H1,L1,V1	1249852255.996787	1249852257.012957	1249852258.021731	5	23     	267	  52	  	LAL		2.033e-33	-32.6919	0.0   	0.9979	0.0	0.0021	0.0
S190828j	G348500	CBC	gstlal		AllSky	 H1,L1,V1	1251009262.739486	1251009263.756472	1251009264.796332	32	228	1946	  388		LAL		8.474e-22	-21.0719	0.0 	0.0	1.0	0.0 	0.0
S190828l	G348519	CBC	gstlal		AllSky	 H1,L1,V1	1251010526.884921	1251010527.886557	1251010528.913573	108	359	1528	  387		LAL		4.629e-11	-10.3345	0.0	0.0	1.0	0.0	0.0
S190901ap	G348901	CBC	gstlal		AllSky	 L1,V1		1251415878.837767	1251415879.837767	1251415880.838844	3472    14753	241	  79		LAL		7.027e-09	 -8.1532	0.8607	0.0	0.0	0.0	0.1393
S190910d	G350002	CBC	spiir		HighMass H1,L1		1252113996.241211	1252113997.242676	1252113998.264918	643	2482	632	  186		LAL		3.717e-09	 -8.4298	0.0	0.9759	0.0	0.0	0.0241
S190910h	G350020	CBC	gstlal		AllSky	 L1	 	1252139415.544299	1252139416.544448	1252139417.544448	8040	24264	230	  88		LAL		3.584e-08	 -7.4456	0.6122	0.0	0.0	0.0	0.3878
S190915ak	G350491	CBC	gstlal		AllSky	 H1,L1,V1	1252627039.685111	1252627040.690891	1252627041.730049	70	3181	1584	  381		LAL		9.735e-10	 -9.0117	0.0	0.0	0.9947	0.0	0.0053
S190923y	G351318	CBC	pycbc		AllSky	 H1,L1	 	1253278576.645077	1253278577.645508	1253278578.654868	534	2107	438	  133		bayestar	4.783e-08	 -7.3203	0.0	0.6778	0.0	0.0	0.3222
S190924h	G351423	CBC	gstlal		AllSky	 H1,L1,V1	1253326743.785645	1253326744.846654	1253326745.876674	81	303	548	  112		LAL		8.928e-19	-18.0493	0.0     0.0	0.0	1.0	0.0
S190930s	G351993	CBC	gstlal		AllSky	 H1,L1		1253885758.235347	1253885759.246810	1253885760.253734	536 	1748	709	  191		LAL		3.008e-09	 -8.5217	0.0	0.0	0.0	0.9508	0.0492
S190930t	G352020	CBC	gstlal		AllSky	 L1		1253889264.685342	1253889265.685342	1253889266.685342	8061	24220	108	  38		bayestar	1.543e-08	 -7.8116	0.0	0.7426  0.0	0.0	0.2574
S191105e	G354065	CBC	pycbc		AllSky	 H1,L1,V1	1256999738.931152	1256999739.933105	1256999740.933105	65	643	1183	  281		LAL		2.283e-08	 -7.6415	0.0	0.0	0.9531	0.0	0.0469
S191109d	G354219	CBC	spiir		AllSky	 H1,L1	 	1257296854.204590	1257296855.220703	1257296856.278186	448	1487	1810	  604		LAL		1.537e-13	-12.8133	0.0	0.0	1.0	0.0	0.0
S191129u	G355916	CBC	gstlal		AllSky	 H1,L1		1259070046.158941	1259070047.197372	1259070048.244883	263	1011	765	  200		bayestar	2.650e-35	-34.5768	0.0	0.0	1.0	0.0	0.0
S191204r	G356500	CBC	gstlal		AllSky	 H1,L1,V1	1259514943.074281	1259514944.091822	1259514945.124422	12 	103	678	  149		bayestar	3.069e-25	-24.5130	0.0	0.0	1.0	0.0	0.0
S191205ah	G356642	CBC	gstlal		AllSky	 H1,L1,V1	1259617945.564933	1259617946.568738	1259617947.568738	692	6378	385	  165		bayestar	1.248e-08	 -7.9038	0.0	0.9321	0.0	0.0	0.0679
S191213g	G357197	CBC	gstlal		AllSky	 H1,L1,V1	1260246865.142224	1260246866.142224	1260246867.145035	852	4480	201	  81		LAL		3.548e-08	 -7.4501	0.7680  0.0	0.0	0.0	0.2320
S191215w	G357403	CBC	gstlal		AllSky	 H1,L1,V1	1260484269.331534	1260484270.333152	1260484271.365682	52	361	1770	  455		LAL		1.006e-09	 -8.9974	0.0	0.0	0.9972	0.0	0.0028
S191216ap	G357490	CBC	gstlal		AllSky	 H1,V1		1260567235.469170	1260567236.472999	1260567237.487849	68	253	376	  70		LAL		1.130e-23	-22.9469	0.0	0.0	0.9907	0.0093	0.0						
S191222n	G358088	CBC	gstlal		AllSky	 H1,L1		1261020954.112305	1261020955.119478	1261020956.119478	449	1850	2518	  679		LAL		6.459e-12	-11.1898	0.0	0.0	0.9999	0.0	0.0001
S200105ae	G359417	CBC	gstlal		AllSky	 L1,V1		1262276683.057208	1262276684.057208	1262276685.059117	1728	7373	283	  74		LAL		7.672e-07	 -6.1151	0.0	0.0273	0.0	0.0	0.9727
S200112r	G359994	CBC	gstlal		AllSky	 L1,V1	 	1262879935.091777	1262879936.093931	1262879937.093931	611	4004	1125	  289		LAL		1.283e-11	-10.8918	0.0	0.0	0.9997	0.0	0.0003
S200114f	G360110	Burst	CWB		IMBH	 H1,L1,V	1263002916.225766	1263002916.239300	1263002916.252885	37	403	-999	  -99		cWB		-999		 99.99		-9.9	-9.9	-9.9	-9.9	-9.9
S200115j	G360364	CBC	gstlal		AllSky	 H1,L1,V1	1263097406.735840	1263097407.752869	1263097408.769043	153	765	340	  79		LAL		2.094e-11	-10.6790	0.0	0.0	0.0	0.9997	0.0003
S200128d	G361407	CBC	pycbc		AllSky	 H1,L1		1264213228.897043	1264213229.903320	1264213230.953959	625	2293	3702	  1265		LAL		1.647e-08	 -7.7833	0.0	0.0	0.9690  0.0	0.0310
S200129m	G361581	CBC	gstlal		AllSky	 H1,L1,V1	1264316115.411621	1264316116.435104	1264316117.460904	8	41 	755	  194		LAL		6.697e-32	-31.1741	0.0	0.0	1.00	0.0	0.0
S200208q	G363349	CBC	MBTAOnline	AllSky	 H1,L1,V1	1265202094.944824	1265202095.991118	1265202096.991118	7	26	2142	  459		LAL		2.518e-09	 -8.5989	0.0	0.0	0.9934	0.0	0.0066
S200213t	G363842	CBC	gstlal		AllSky	 H1,L1,V1	1265602257.327981	1265602258.327981	1265602259.327981	150	2587	224	  90		LAL		1.767e-08	 -7.7528	0.6295  0.0	0.0	0.0	0.3705
S200219ac	G364600	CBC	pycbc		AllSky	 H1,L1,V1	1266140672.194824	1266140673.187400	1266140674.246714	163	781	3533	  1031		LAL		1.330e-08	 -7.8761	0.0	0.0	0.9640	0.0	0.0360	
S200224ca	G365380	CBC	pycbc		AllSky	 H1,L1,V1	1266618171.378418	1266618172.378418	1266618173.458359	13	72	1575	  322		LAL		1.605e-11	-10.7945	0.0	0.0	0.9999  0.0	0.0001
