#SuperEvent_ID	eventID	    area50	area90	dist_Mpc	err_dist_Mpc	gaussian	FAR_Hz		log10_FAR_Hz	BNS	NSBH	BBH	MassGap	Terrestrial
S190408an   	G329243      	82       387    1473	         358	     	y		2.811e-18	-17.5511      	0.0	0.0	1.0	0.0	0.0
S190412m	G329483      	37    	 156	 812		 194	     	y		1.683e-27	-26.7739	0.0	0.0	1.0	0.0	0.0
S190421ar	G330308        399    	1444	1628		 535	     	y		1.489e-08 	 -7.8271	0.0	0.0	0.9674  0.0	0.0326
S190425z	G330561       1378    	7461	 156		  41	     	y		4.538e-13	-12.3431	0.9994	0.0	0.0	0.0	0.0006
S190426c	G330687        214    	1131	 377        	 100	     	y		1.947e-08	 -7.7106	0.4932 	0.1293	0.0	0.2374	0.1401	
S190503bf	G331315        104    	 448	 421		 105	     	y		1.636e-09	 -8.7862	0.0	0.0047	0.9628	0.0323	0.0001
S190510g	G331903         31    	1166	 227		  92	     	y		8.834e-09	 -8.0538	0.9797	0.0	0.0	0.0	0.0203
S190512at	G332191         44       252	1388		 322	     	y		1.901e-09	 -8.7210	0.0	0.0	0.9899	0.0	0.0101
S190513bm	G332333        134       691	1987		 501	     	y	     	3.734e-13	-12.4278	0.0	0.0052	0.9427	0.0521	0.0
S190517h	G333132        152       939	2950		1038	     	N		2.373e-09	 -8.6247	0.0	0.0008	0.9826	0.0166	0.0
S190519bj	G333462        169       967	3154		 791	     	y		5.702e-09	 -8.2439	0.0	0.0	0.9558	0.0	0.0442
S190521g	G333631        144       765	3931		 953	    	y		3.801e-09	 -8.4201	0.0	0.0	0.9659	0.0	0.0341
S190521r	G333674        162       488	1136		 279	     	y		3.168e-10	 -9.4992	0.0	0.0	0.9993	0.0	0.0007
S190602aq	G334993        286    	1172	 797		 238	     	y 		1.901e-09	 -8.7210	0.0	0.0	0.9903	0.0	0.0097
S190630ag	G337426	      1936	8493	1059		 307  		y 		1.435e-13	-12.8431	0.0	0.0052	0.9427	0.0521	0.0
S190701ah	G337515	        19	  67    1045		 234		y		1.916e-08	 -7.7176	0.0	0.0	0.9344	0.0	0.0656
S190706ai	G337913	       281	1100	5725		1446		y		1.901e-09	 -8.7210	0.0	0.0	0.9898	0.0	0.0102
S190707q	G338000	       396	1375	 810		 234		y		5.265e-12	-11.2786	0.0	0.0	1.0	0.0	0.0
S190718y	G344538	        79	7246	 227		 165		N		3.648e-08	-7.43794	0.0207	0.0	0.0	0.0	0.9793
S190720a	G344656	       478	1461    1071		 323		y		3.801e-09	-8.42010	0.0	0.0	0.9893	0.0	0.0107
S190727h	G345163        135	 841	2022		 516		y		1.378e-10	-9.86075	0.0	0.0019	0.9221	0.0282	0.0478
S190728q	G345315	        55 	 543	795		 195		y		2.527e-23	-22.5974	0.0	0.1435	0.3400	0.5165	0.00
